"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 10:16:35 GMT 2025","Thu Feb 20 10:16:36 GMT 2025","872","tests","test_create_list_of_users_with_given_input_array","TestCreateListOfUsersWithGivenInputArray","","","test_create_list_of_users_with_given_input_array",""
"passed","Thu Feb 20 10:16:53 GMT 2025","Thu Feb 20 10:16:53 GMT 2025","842","tests","test_get_user_by_user_name","TestGetUserByUserName","","","test_get_user_by_user_name",""
"passed","Thu Feb 20 10:16:40 GMT 2025","Thu Feb 20 10:16:42 GMT 2025","1888","tests","test_delete_user","TestDeleteUser","","","test_delete_user",""
"passed","Thu Feb 20 10:16:54 GMT 2025","Thu Feb 20 10:16:55 GMT 2025","834","tests","test_returns_pet_inventory_by_status","TestReturnsPetInventoryByStatus","","","test_returns_pet_inventory_by_status",""
"passed","Thu Feb 20 10:16:58 GMT 2025","Thu Feb 20 10:16:58 GMT 2025","851","tests","test_updated_user","TestUpdatedUser","","","test_updated_user",""
"passed","Thu Feb 20 10:16:56 GMT 2025","Thu Feb 20 10:16:57 GMT 2025","812","tests","test_update_an_existing_pet","TestUpdateAnExistingPet","","","test_update_an_existing_pet",""
"passed","Thu Feb 20 10:16:43 GMT 2025","Thu Feb 20 10:16:45 GMT 2025","1768","tests","test_deletes_a_pet","TestDeletesAPet","","","test_deletes_a_pet",""
"passed","Thu Feb 20 10:16:38 GMT 2025","Thu Feb 20 10:16:39 GMT 2025","1801","tests","test_delete_purchase_order_by_id","TestDeletePurchaseOrderById","","","test_delete_purchase_order_by_id",""
"passed","Thu Feb 20 10:16:36 GMT 2025","Thu Feb 20 10:16:37 GMT 2025","792","tests","test_create_user","TestCreateUser","","","test_create_user",""
"passed","Thu Feb 20 10:16:51 GMT 2025","Thu Feb 20 10:16:52 GMT 2025","876","tests","test_find_purchase_order_by_id","TestFindPurchaseOrderById","","","test_find_purchase_order_by_id",""
"passed","Thu Feb 20 10:16:49 GMT 2025","Thu Feb 20 10:16:50 GMT 2025","836","tests","test_find_pets_by_status","TestFindPetsByStatus","","","test_find_pets_by_status[sold]",""
"passed","Thu Feb 20 10:16:53 GMT 2025","Thu Feb 20 10:16:54 GMT 2025","907","tests","test_place_an_order_for_a_pet","TestPlaceAnOrderForAPet","","","test_place_an_order_for_a_pet",""
"passed","Thu Feb 20 10:16:34 GMT 2025","Thu Feb 20 10:16:35 GMT 2025","997","tests","test_add_a_new_pet_to_the_store","TestAddANewPetToTheStore","","","test_add_a_new_pet_to_the_store",""
"passed","Thu Feb 20 10:16:47 GMT 2025","Thu Feb 20 10:16:48 GMT 2025","1441","tests","test_find_pets_by_status","TestFindPetsByStatus","","","test_find_pets_by_status[available]",""
"passed","Thu Feb 20 10:16:46 GMT 2025","Thu Feb 20 10:16:47 GMT 2025","874","tests","test_find_pet_by_id","TestFindPetsById","","","test_find_pets_by_id",""
"passed","Thu Feb 20 10:16:48 GMT 2025","Thu Feb 20 10:16:49 GMT 2025","893","tests","test_find_pets_by_status","TestFindPetsByStatus","","","test_find_pets_by_status[pending]",""
